team_id,team_name,venue_name,venue_city,venue_capacity,founded,standings_rank,standings_points,standings_goals_diff,standings_form,standings_played,standings_win,standings_draw,standings_lose,standings_goals_for,standings_goals_against,standings_home_played,standings_home_win,standings_home_draw,standings_home_lose,standings_home_goals_for,standings_home_goals_against,standings_away_played,standings_away_win,standings_away_draw,standings_away_lose,standings_away_goals_for,standings_away_goals_against,stats_fixtures_played_home,stats_fixtures_played_away,stats_fixtures_played_total,stats_fixtures_wins_home,stats_fixtures_wins_away,stats_fixtures_wins_total,stats_fixtures_draws_home,stats_fixtures_draws_away,stats_fixtures_draws_total,stats_fixtures_loses_home,stats_fixtures_loses_away,stats_fixtures_loses_total,stats_goals_for_home,stats_goals_for_away,stats_goals_for_total,stats_goals_for_avg_home,stats_goals_for_avg_away,stats_goals_for_avg_total,stats_goals_against_home,stats_goals_against_away,stats_goals_against_total,stats_goals_against_avg_home,stats_goals_against_avg_away,stats_goals_against_avg_total,stats_biggest_wins_home,stats_biggest_wins_away,stats_biggest_loses_home,stats_biggest_loses_away,stats_biggest_streak_wins,stats_biggest_streak_draws,stats_biggest_streak_loses,stats_biggest_goals_for_home,stats_biggest_goals_for_away,stats_biggest_goals_against_home,stats_biggest_goals_against_away,stats_clean_sheet_home,stats_clean_sheet_away,stats_clean_sheet_total,stats_failed_to_score_home,stats_failed_to_score_away,stats_failed_to_score_total,stats_penalty_scored_total,stats_penalty_missed_total,sm_offsides,sm_fouls,sm_ball_possession_pct,sm_injury_time_goals,sm_red_cards,sm_attacks,sm_yellow_cards,sm_rating,sm_yellowred_cards,sm_dangerous_attacks,sm_corners,sm_tackles,sm_shots,fbref_poss,fbref_age,fbref_90s,fbref_goals,fbref_assists,fbref_goals_against,fbref_goals_against_90,fbref_saves,fbref_save_pct,fbref_clean_sheets,fbref_shots,fbref_shots_on_target,fbref_shots_on_target_pct,fbref_goals_per_shot,fbref_yellow_cards,fbref_red_cards,fbref_fouls,fbref_offsides,fbref_crosses,fbref_interceptions,fbref_tackles_won
551,FC Basel 1893,St. Jakob-Park,Basel,37994,1893,4,53,6,LDWWL,33,15,8,10,51,45,16,7,6,3,25,15,17,8,2,7,26,30,16,17,33,7,8,15,6,2,8,3,7,10,25,26,51,1.6,1.5,1.5,15,30,45,0.9,1.8,1.4,4-1,0-3,1-2,5-1,2,2,1,4,4,3,5,5,4,9,3,3,6,8,0,1.82,10.36,55.48,6.0,,97.73,1.97,6.91,0.06,49.79,5.79,16.79,517.0,55.6,26.7,33.0,49,31,45,1.36,122,74.7,9,514,189,36.8,0.08,63,2,341,60,674,317,345
565,BSC Young Boys,Stadion Wankdorf,Bern,31700,1898,6,48,5,DDDWL,33,13,9,11,65,60,16,8,4,4,36,20,17,5,5,7,29,40,16,17,33,8,5,13,4,5,9,4,7,11,36,29,65,2.3,1.7,2.0,20,40,60,1.3,2.4,1.8,6-1,1-4,2-6,5-0,3,2,4,6,4,6,5,6,1,7,2,3,5,5,0,1.39,11.48,55.09,5.0,0.15,100.39,1.67,6.85,0.09,53.03,5.42,16.61,477.0,55.3,27.4,33.0,64,51,60,1.82,93,62.5,7,478,176,36.8,0.12,57,8,391,45,635,333,346
606,FC Lugano,Stadio di Cornaredo,Lugano,5476,1908,3,57,12,WWDDL,33,16,9,8,50,38,16,10,3,3,30,18,17,6,6,5,20,20,16,17,33,10,6,16,3,6,9,3,5,8,30,20,50,1.9,1.2,1.5,18,20,38,1.1,1.2,1.2,4-1,2-5,1-3,4-0,5,4,2,4,5,3,4,4,5,9,0,4,4,5,0,2.12,12.03,56.7,6.0,0.09,87.27,2.33,6.89,0.06,43.27,3.85,14.7,431.0,56.8,27.0,33.0,50,35,38,1.15,117,77.2,9,429,148,34.5,0.1,76,5,403,69,549,273,320
630,FC Sion,Stade de Tourbillon,Sion,14283,1909,5,52,16,WWDWD,33,13,13,7,51,35,17,8,6,3,25,12,16,5,7,4,26,23,17,16,33,8,5,13,6,7,13,3,4,7,25,26,51,1.5,1.6,1.5,12,23,35,0.7,1.4,1.1,4-0,0-4,0-2,3-1,2,4,1,4,4,2,3,8,4,12,5,3,8,9,0,1.24,12.64,50.97,5.0,0.12,90.45,1.91,6.89,0.03,46.73,5.45,17.64,469.0,51.1,27.1,33.0,49,28,35,1.06,104,75.7,12,469,153,32.6,0.09,63,5,424,41,744,326,351
644,FC Luzern,swissporarena,Luzern,16490,1901,7,40,3,DLWLW,33,10,10,13,64,61,17,4,6,7,38,35,16,6,4,6,26,26,17,16,33,4,6,10,6,4,10,7,6,13,38,26,64,2.2,1.6,1.9,35,26,61,2.1,1.6,1.8,6-0,0-4,2-5,4-1,3,3,4,6,4,5,4,2,3,5,0,4,4,6,0,1.76,12.03,49.85,8.0,0.06,87.24,2.24,6.81,0.03,48.76,5.27,18.21,476.0,49.8,24.2,33.0,60,40,61,1.85,87,61.6,5,471,144,30.6,0.11,71,3,415,58,615,292,376
783,FC Zurich,Stadion Letzigrund,Zürich,26114,1896,10,34,-18,LLWLL,33,10,4,19,45,63,17,6,1,10,27,33,16,4,3,9,18,30,17,16,33,6,4,10,1,3,4,10,9,19,27,18,45,1.6,1.1,1.4,33,30,63,1.9,1.9,1.9,3-0,1-3,0-4,3-0,3,1,5,3,3,4,4,2,0,2,3,5,8,5,0,1.39,14.45,50.36,9.0,0.18,95.3,2.61,6.75,0.06,44.88,4.79,16.58,428.0,50.5,25.6,33.0,45,30,63,1.91,114,67.6,2,430,160,37.2,0.09,88,8,485,46,485,321,374
1011,FC ST. Gallen,kybunpark,St. Gallen,20029,1879,2,60,24,DWDDW,33,17,9,7,64,40,17,10,2,5,32,19,16,7,7,2,32,21,17,16,33,10,7,17,2,7,9,5,2,7,32,32,64,1.9,2.0,1.9,19,21,40,1.1,1.3,1.2,5-0,1-5,1-4,3-1,3,2,2,5,5,4,3,6,2,8,2,1,3,9,0,2.03,15.3,44.91,10.0,0.03,90.64,2.73,6.84,0.03,52.15,5.45,16.24,510.0,44.8,25.9,33.0,64,32,40,1.21,109,74.5,8,511,183,35.8,0.11,87,2,514,68,579,302,352
1012,FC Thun,Stockhorn Arena,Thun,10014,1898,1,74,38,WLLWW,33,24,2,7,75,37,17,12,2,3,42,20,16,12,0,4,33,17,17,16,33,12,12,24,2,0,2,3,4,7,42,33,75,2.5,2.1,2.3,20,17,37,1.2,1.1,1.1,5-1,0-4,1-3,4-2,10,1,2,5,4,3,4,2,4,6,2,1,3,5,0,2.18,15.18,46.55,6.0,0.06,87.42,2.24,6.9,0.03,57.3,5.97,17.36,578.0,46.6,27.1,33.0,75,52,37,1.12,103,76.3,6,578,201,34.8,0.12,72,3,516,71,625,324,388
1013,Grasshoppers,Stadion Letzigrund,Zürich,26114,1886,11,27,-25,WLLLL,33,6,9,18,40,65,16,3,5,8,22,28,17,3,4,10,18,37,16,17,33,3,3,6,5,4,9,8,10,18,22,18,40,1.4,1.1,1.2,28,37,65,1.8,2.2,2.0,3-0,2-6,0-4,6-0,1,3,5,3,6,4,6,2,3,5,3,7,10,5,0,1.21,14.76,45.18,5.0,0.15,95.82,2.55,6.7,0.15,43.85,4.67,21.33,429.0,45.2,24.3,33.0,39,24,65,1.97,94,61.6,5,426,149,35.0,0.08,83,10,506,40,579,362,449
1014,Lausanne,Stade de la Tuilière,Lausanne,13132,1896,9,39,-10,LWLLW,33,10,9,14,47,57,16,5,5,6,28,27,17,5,4,8,19,30,16,17,33,5,5,10,5,4,9,6,8,14,28,19,47,1.8,1.1,1.4,27,30,57,1.7,1.8,1.7,5-0,1-3,0-4,5-1,2,2,4,5,3,4,5,2,3,5,3,5,8,4,0,1.36,11.15,50.15,8.0,0.12,104.45,2.12,6.81,0.15,51.33,5.12,17.21,485.0,50.1,25.1,33.0,46,29,57,1.73,104,67.3,5,487,166,34.1,0.09,72,9,378,45,557,358,367
