Squad,# Pl,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
Basel,2,33,33,2970,33.0,45,1.36,162,122,74.7,15,8,10,9,27.3,5,4,1,0,20.0
FC Winterthur,1,33,33,2970,33.0,86,2.61,208,132,61.1,4,7,22,0,0.0,10,5,5,0,50.0
Grasshopper,1,33,33,2970,33.0,65,1.97,151,94,61.6,6,9,18,5,15.2,9,7,2,0,22.2
Lausanne-Sport,2,33,33,2970,33.0,57,1.73,153,104,67.3,10,9,14,5,15.2,9,7,1,1,12.5
Lugano,2,33,33,2970,33.0,38,1.15,149,117,77.2,16,9,8,9,27.3,8,4,2,2,33.3
Luzern,1,33,33,2970,33.0,61,1.85,138,87,61.6,10,10,13,5,15.2,11,8,2,1,20.0
Servette FC,2,33,33,2970,33.0,57,1.73,141,90,63.8,9,13,11,6,18.2,6,6,0,0,0.0
Sion,1,33,33,2970,33.0,35,1.06,136,104,75.7,13,13,7,12,36.4,3,2,1,0,33.3
St. Gallen,2,33,33,2970,33.0,40,1.21,145,109,74.5,17,9,7,8,24.2,5,3,2,0,40.0
Thun,2,33,33,2970,33.0,37,1.12,135,103,76.3,24,2,7,6,18.2,6,5,0,1,0.0
Young Boys,1,33,33,2970,33.0,60,1.82,144,93,62.5,13,9,11,7,21.2,10,6,3,1,33.3
Zürich,2,33,33,2970,33.0,63,1.91,170,114,67.6,10,4,19,2,6.1,8,8,0,0,0.0
