Squad,# Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Basel,32,33.0,63,2,2,341,514,60,674,317,345,,,1
FC Winterthur,34,33.0,83,4,1,438,408,39,495,314,391,,,1
Grasshopper,35,33.0,83,10,5,506,319,40,579,362,449,,,1
Lausanne-Sport,33,33.0,72,9,5,378,419,45,557,358,367,,,1
Lugano,28,33.0,76,5,2,403,421,69,549,273,320,,,0
Luzern,27,33.0,71,3,1,415,354,58,615,292,376,,,1
Servette FC,32,33.0,80,4,1,414,356,40,793,286,399,,,1
Sion,24,33.0,63,5,1,424,482,41,744,326,351,,,1
St. Gallen,32,33.0,87,2,1,514,464,68,579,302,352,,,3
Thun,26,33.0,72,3,1,516,403,71,625,324,388,,,1
Young Boys,30,33.0,57,8,3,391,399,45,635,333,346,,,1
Zürich,39,33.0,88,8,2,485,422,46,485,321,374,,,0
