Squad,# Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
Basel,32,33.0,49,514,189,36.8,15.58,5.73,0.08,0.22,8,13
FC Winterthur,34,33.0,35,386,133,34.5,11.7,4.03,0.09,0.25,2,3
Grasshopper,35,33.0,39,426,149,35.0,12.91,4.52,0.08,0.23,5,8
Lausanne-Sport,33,33.0,46,487,166,34.1,14.76,5.03,0.09,0.25,4,5
Lugano,28,33.0,50,429,148,34.5,13.0,4.48,0.1,0.3,5,5
Luzern,27,33.0,60,471,144,30.6,14.27,4.36,0.11,0.38,6,6
Servette FC,32,33.0,56,442,146,33.0,13.39,4.42,0.12,0.37,2,5
Sion,24,33.0,49,469,153,32.6,14.21,4.64,0.09,0.26,9,13
St. Gallen,32,33.0,64,511,183,35.8,15.48,5.55,0.11,0.3,9,13
Thun,26,33.0,75,578,201,34.8,17.52,6.09,0.12,0.35,5,6
Young Boys,30,33.0,64,478,176,36.8,14.48,5.33,0.12,0.34,5,6
Zürich,39,33.0,45,430,160,37.2,13.03,4.85,0.09,0.25,5,7
