Squad,# Pl,Age,Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Basel,32,26.7,55.6,33,363,2970,33.0,49,31,80,41,8,13,63,2,1.48,0.94,2.42,1.24,2.18
FC Winterthur,34,27.4,43.2,33,363,2970,33.0,35,27,62,33,2,3,83,4,1.06,0.82,1.88,1.0,1.82
Grasshopper,35,24.3,45.2,33,363,2970,33.0,39,24,63,34,5,8,83,10,1.18,0.73,1.91,1.03,1.76
Lausanne-Sport,33,25.1,50.1,33,363,2970,33.0,46,29,75,42,4,5,72,9,1.39,0.88,2.27,1.27,2.15
Lugano,28,27.0,56.8,33,363,2970,33.0,50,35,85,45,5,5,76,5,1.52,1.06,2.58,1.36,2.42
Luzern,27,24.2,49.8,33,363,2970,33.0,60,40,100,54,6,6,71,3,1.82,1.21,3.03,1.64,2.85
Servette FC,32,29.5,51.6,33,363,2970,33.0,56,46,102,54,2,5,80,4,1.7,1.39,3.09,1.64,3.03
Sion,24,27.1,51.1,33,363,2970,33.0,49,28,77,40,9,13,63,5,1.48,0.85,2.33,1.21,2.06
St. Gallen,32,25.9,44.8,33,363,2970,33.0,64,32,96,55,9,13,87,2,1.94,0.97,2.91,1.67,2.64
Thun,26,27.1,46.6,33,363,2970,33.0,75,52,127,70,5,6,72,3,2.27,1.58,3.85,2.12,3.7
Young Boys,30,27.4,55.3,33,363,2970,33.0,64,51,115,59,5,6,57,8,1.94,1.55,3.48,1.79,3.33
Zürich,39,25.6,50.5,33,363,2970,33.0,45,30,75,40,5,7,88,8,1.36,0.91,2.27,1.21,2.12
