fixture_id,date,referee,venue_name,venue_city,status_long,status_short,round,home_team_id,home_team_name,home_team_winner,away_team_id,away_team_name,away_team_winner,goals_home,goals_away,score_ht_home,score_ht_away,score_ft_home,score_ft_away
1382294,2025-07-25T18:30:00+00:00,"Sven Wolfensberger, Switzerland",Letzigrund Stadion,Zurich,Match Finished,FT,Regular Season - 1,783,FC Zurich,False,630,FC Sion,True,2.0,3.0,1.0,0.0,2.0,3.0
1382296,2025-07-26T16:00:00+00:00,"Urs Schnyder, Switzerland",Kybunpark,St. Gallen,Match Finished,FT,Regular Season - 1,1011,FC ST. Gallen,True,551,FC Basel 1893,False,2.0,1.0,0.0,1.0,2.0,1.0
1382295,2025-07-26T16:00:00+00:00,"Anojen Kanagasingam, Switzerland",Letzigrund Stadion,Zurich,Match Finished,FT,Regular Season - 1,1013,Grasshoppers,False,644,FC Luzern,True,2.0,3.0,2.0,2.0,2.0,3.0
1382297,2025-07-26T18:30:00+00:00,"Luca Piccolo, Switzerland",Stadion Wankdorf,Bern,Match Finished,FT,Regular Season - 1,565,BSC Young Boys,True,2184,Servette FC,False,3.0,1.0,2.0,1.0,3.0,1.0
1382299,2025-07-27T14:00:00+00:00,"Lukas Fahndrich, Switzerland",Stadio di Cornaredo,Lugano,Match Finished,FT,Regular Season - 1,606,FC Lugano,False,1012,FC Thun,True,1.0,2.0,1.0,0.0,1.0,2.0
1382298,2025-07-27T14:00:00+00:00,"Luca Cibelli, Switzerland",Stade de la Tuiliere,Lausanne,Match Finished,FT,Regular Season - 1,1014,Lausanne,True,2180,FC Winterthur,False,3.0,2.0,0.0,1.0,3.0,2.0
1382301,2025-08-02T16:00:00+00:00,"Lukas Fahndrich, Switzerland",Stadion Schützenwiese,Winterthur,Match Finished,FT,Regular Season - 2,2180,FC Winterthur,,565,BSC Young Boys,,1.0,1.0,0.0,1.0,1.0,1.0
1382300,2025-08-02T16:00:00+00:00,"Luca Cibelli, Switzerland",Stade de Genève,Geneva,Match Finished,FT,Regular Season - 2,2184,Servette FC,False,1011,FC ST. Gallen,True,1.0,4.0,1.0,3.0,1.0,4.0
1382302,2025-08-02T18:30:00+00:00,"Sven Wolfensberger, Switzerland",St. Jakob-Park,Basel,Match Finished,FT,Regular Season - 2,551,FC Basel 1893,True,1013,Grasshoppers,False,2.0,1.0,1.0,0.0,2.0,1.0
1382303,2025-08-03T12:00:00+00:00,"Lionel Tschudi, Switzerland",Stockhorn Arena,Thun,Match Finished,FT,Regular Season - 2,1012,FC Thun,True,1014,Lausanne,False,2.0,1.0,1.0,0.0,2.0,1.0
