team_id,team_name,offsides,fouls,ball_possession_pct,injury_time_goals,red_cards,games_played,attacks,yellow_cards,rating,yellowred_cards,dangerous_attacks,corners,tackles,shots
13775,Lugano,2.12,12.03,56.7,6.0,0.09,33.0,87.27,2.33,6.89,0.06,43.27,3.85,14.7,431.0
10655,Thun,2.18,15.18,46.55,6.0,0.06,33.0,87.42,2.24,6.9,0.03,57.3,5.97,17.36,578.0
362,St. Gallen,2.03,15.3,44.91,10.0,0.03,33.0,90.64,2.73,6.84,0.03,52.15,5.45,16.24,510.0
3525,Winterthur,1.21,12.91,43.21,13.0,0.09,33.0,78.36,2.48,6.67,0.06,40.55,3.42,19.36,385.0
468,Basel,1.82,10.36,55.48,6.0,,33.0,97.73,1.97,6.91,0.06,49.79,5.79,16.79,517.0
3091,Luzern,1.76,12.03,49.85,8.0,0.06,33.0,87.24,2.24,6.81,0.03,48.76,5.27,18.21,476.0
2357,Lausanne Sport,1.36,11.15,50.15,8.0,0.12,33.0,104.45,2.12,6.81,0.15,51.33,5.12,17.21,485.0
647,Young Boys,1.39,11.48,55.09,5.0,0.15,33.0,100.39,1.67,6.85,0.09,53.03,5.42,16.61,477.0
2866,Grasshopper,1.21,14.76,45.18,5.0,0.15,33.0,95.82,2.55,6.7,0.15,43.85,4.67,21.33,429.0
1970,Servette,1.24,11.45,51.55,9.0,0.09,33.0,98.21,2.52,6.81,0.03,51.91,5.58,18.7,441.0
462,Sion,1.24,12.64,50.97,5.0,0.12,33.0,90.45,1.91,6.89,0.03,46.73,5.45,17.64,469.0
389,Zürich,1.39,14.45,50.36,9.0,0.18,33.0,95.3,2.61,6.75,0.06,44.88,4.79,16.58,428.0
